,id,identifier,title,relation,type,subject,language,format,rights,preview
5369,oai:dasi.cnr.it:epi:5438,"['DASI:epi-5438', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5438']","['TC 1087', 'CSAI I, 1000']",DASI:obj-5438,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=4171&sessId=&size=med
5370,oai:dasi.cnr.it:epi:5439,"['DASI:epi-5439', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5439']","['TC 1114', 'CSAI I, 1001']",DASI:obj-5439,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=5395&sessId=&size=med
5371,oai:dasi.cnr.it:epi:5440,"['DASI:epi-5440', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5440']","['TC 1115', 'CSAI I, 1002']",DASI:obj-5440,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,
5372,oai:dasi.cnr.it:epi:5441,"['DASI:epi-5441', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5441']",TC 1131,DASI:obj-5441,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=4705&sessId=&size=med
5373,oai:dasi.cnr.it:epi:5442,"['DASI:epi-5442', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5442']","['TC 1176', 'CSAI I, 1092']",DASI:obj-5442,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=3059&sessId=&size=med
5374,oai:dasi.cnr.it:epi:5443,"['DASI:epi-5443', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5443']",TC 1187,DASI:obj-5443,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=2988&sessId=&size=med
5375,oai:dasi.cnr.it:epi:5444,"['DASI:epi-5444', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5444']",TC 1188,DASI:obj-5444,"['Text', 'Dedicatory text']","['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1830&sessId=&size=med
5376,oai:dasi.cnr.it:epi:5445,"['DASI:epi-5445', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5445']","['TC 1193', 'CSAI I, 1003']",DASI:obj-5445,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,
5377,oai:dasi.cnr.it:epi:5446,"['DASI:epi-5446', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5446']","['TC 1238', 'CSAI I, 1004']",DASI:obj-5446,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=4007&sessId=&size=med
5378,oai:dasi.cnr.it:epi:5447,"['DASI:epi-5447', 'http://dasi.cnr.it/?id=dasi_prj_epi&prjId=1&recId=5447']","['TC 1239', 'CSAI I, 1005']",DASI:obj-5447,Text,"['Epigraph', 'Inscription', 'Pre-Islamic Arabia', 'Ancient South Arabian']",Qatabanic,text/html,http://dasi.cnr.it/?id=terms_of_use,http://dasi.cnr.it/de/cgi-bin/wsimg.pl?recId=1892&sessId=&size=med
